Escola,Sexo,idade,TP_Moradia,Tamanho_Familia,Situacao_Pais,Educacao_Mae,Educacao_Pai,Trabalho_Mae,Trabalho_Pai,Motivo_Escolha_Escolar,Responsavel_Legal,Tempo_ida_Escola,Tempo_Estudo_Semanal,Apoio_Educacao_Extra,Apoio_Educacao_Pais,Aulas_Particulares,Ativ_Extracurricular,Frequentou_Creche,Quer_Fazer_Graduacao,Tem_Internet,Esta_Namorando,Boa_Convivencia_Familia,Tempo_Livre_Apos_Escola,Tempo_com_Amigos,Alcool_Dia_Util,Alcool_Fim_Semana,Estado_Saude,Falta_Escolar,Nota_1Semestre,Nota_2Semestre
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Saúde,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Razoavel,Moderado,Moderado,Muito Baixo,Baixo,Ruim,2,14,14
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,Serviços,other,Reputação,Pai,30 min a 1h,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Baixo,Baixo,Muito Baixo,Muito Baixo,Bom,0,10,12
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,Serviços,Preferência pelo Curso,Pai,Até 15 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Muito Baixo,Moderado,Muito Bom,0,12,13
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,other,Preferência pelo Curso,Mãe,15 a 30 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Excelente,Alto,Moderado,Muito Baixo,Baixo,Razoavel,0,12,12
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Separados,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Outro,Até 15 min,5 a 10h,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Bom,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Razoavel,0,14,14
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,other,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Alto,Alto,Muito Baixo,Baixo,Ruim,6,17,17
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Reputação,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Baixo,Moderado,Muito Baixo,Baixo,Ruim,10,13,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,other,other,Reputação,Mãe,30 min a 1h,2 a 5h,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Excelente,Moderado,Baixo,Muito Baixo,Muito Baixo,Bom,2,13,14
Gabriel Pereira,Homem,17,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,Serviços,Serviços,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Excelente,Muito Alto,Muito Alto,Baixo,Alto,Muito Bom,2,8,8
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Médio,Saúde,other,Perto de Casa,Pai,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Muito Baixo,Moderado,Muito Baixo,Moderado,Muito Bom,6,12,12
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,other,Reputação,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Sim,Sim,Sim,Não,Bom,Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Ruim,0,12,13
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,Saúde,Outro,Pai,Até 15 min,"Até 2h,",Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Excelente,Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,11,12
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Professor,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Muito Alto,Muito Baixo,Muito Baixo,Moderado,Muito Bom,0,12,13
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Reputação,Mãe,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Alto,Baixo,Alto,Muito Bom,2,10,10
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Superior,Serviços,Saúde,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,2,10,11
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Não,Sim,Sim,Não,Muito Ruim,Baixo,Baixo,Muito Baixo,Moderado,Muito Bom,6,10,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Baixo,Baixo,Muito Baixo,Baixo,Muito Bom,8,11,12
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Saúde,Serviços,Outro,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Ruim,Baixo,Alto,Baixo,Alto,Muito Ruim,0,11,11
Gabriel Pereira,Homem,16,Urbano,Até 3,Separados,Ensino Médio,Ensino Superior,Serviços,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,2,12,12
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Professor,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Muito Alto,Muito Alto,Muito Alto,Muito Bom,4,12,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,Serviços,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Excelente,Alto,Baixo,Moderado,Alto,Muito Bom,0,10,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Reputação,Mãe,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Muito Baixo,Muito Baixo,Muito Baixo,Muito Bom,2,15,15
Gabriel Pereira,Homem,15,Rural,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,Do Lar,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Bom,Muito Alto,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,13,14
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Médio,Ensino Médio,other,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Sim,Não,Sim,Sim,Não,Excelente,Moderado,Baixo,Muito Baixo,Muito Baixo,Ruim,0,13,12
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Não,Sim,Sim,Não,Excelente,Alto,Moderado,Muito Baixo,Muito Baixo,Muito Bom,4,12,12
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Médio,other,other,Outro,Pai,15 a 30 min,"Até 2h,",Não,Sim,Não,Sim,Sim,Sim,Não,Não,Razoavel,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Bom,4,11,11
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,Serviços,Perto de Casa,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Moderado,Muito Baixo,Muito Baixo,Bom,0,14,14
Gabriel Pereira,Homem,16,Rural,Acima de 3,Separados,Ensino Superior,Ensino Superior,other,Professor,Reputação,Mãe,15 a 30 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Ruim,Alto,Moderado,Muito Baixo,Muito Baixo,Muito Bom,4,13,13
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Serviços,Saúde,Preferência pelo Curso,Mãe,Até 15 min,5 a 10h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,2,11,12
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Do Lar,other,Reputação,Mãe,Até 15 min,"Até 2h,",Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Bom,Moderado,Muito Baixo,Muito Baixo,Muito Baixo,Ruim,8,14,13
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,15 a 30 min,2 a 5h,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Razoavel,Moderado,Moderado,Muito Baixo,Baixo,Razoavel,16,11,11
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,other,Perto de Casa,Outro,Até 15 min,"Até 2h,",Não,Sim,Não,Não,Não,Sim,Sim,Sim,Excelente,Alto,Moderado,Baixo,Alto,Muito Bom,8,10,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Professor,Preferência pelo Curso,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,0,14,15
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Preferência pelo Curso,Pai,Até 15 min,"Até 2h,",Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Excelente,Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Ruim,0,9,10
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,Do Lar,Preferência pelo Curso,Pai,15 a 30 min,2 a 5h,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Baixo,Baixo,Muito Bom,14,10,11
Gabriel Pereira,Mulher,15,Urbano,Até 3,Separados,Ensino Superior,Ensino Médio,other,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Excelente,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Bom,4,10,11
Gabriel Pereira,Mulher,16,Urbano,Até 3,Separados,Ensino Médio,Ensino Médio,other,Serviços,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Ruim,Moderado,Muito Alto,Muito Baixo,Alto,Razoavel,6,13,12
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Saúde,Serviços,Reputação,Mãe,Até 15 min,Mais de 10h,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Baixo,Baixo,Muito Baixo,Muito Baixo,Ruim,2,17,17
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Professor,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Não,Bom,Moderado,Moderado,Baixo,Baixo,Muito Bom,4,11,12
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Professor,Outro,Pai,Até 15 min,2 a 5h,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Bom,Alto,Alto,Muito Baixo,Muito Baixo,Razoavel,2,13,12
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Preferência pelo Curso,Mãe,30 min a 1h,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Baixo,Moderado,Bom,0,14,13
Gabriel Pereira,Mulher,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Saúde,other,Outro,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Muito Baixo,Muito Baixo,Muito Bom,0,16,14
Gabriel Pereira,Homem,15,Urbano,Até 3,Separados,Ensino Superior,Ensino Fundamental 2,Saúde,Saúde,Outro,Pai,15 a 30 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Não,Não,Excelente,Muito Alto,Muito Alto,Moderado,Alto,Muito Bom,4,10,9
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Serviços,Serviços,Preferência pelo Curso,Mãe,Até 15 min,"Até 2h,",Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Razoavel,Moderado,Alto,Baixo,Moderado,Muito Bom,0,13,12
Gabriel Pereira,Mulher,15,Urbano,Até 3,Separados,Ensino Médio,Ensino Médio,other,other,Outro,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Não,Sim,Sim,Sim,Não,Excelente,Moderado,Alto,Alto,Alto,Muito Ruim,0,13,12
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Separados,Ensino Fundamental 2,Ensino Fundamental 1,other,other,Outro,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Excelente,Moderado,Alto,Muito Baixo,Muito Baixo,Ruim,2,12,13
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Separados,Ensino Superior,Ensino Médio,Serviços,Serviços,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Ruim,0,15,14
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Professor,Saúde,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Razoavel,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Bom,8,15,15
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 2,other,Do Lar,Perto de Casa,Pai,Até 15 min,2 a 5h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,14,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Serviços,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Bom,Baixo,Moderado,Muito Baixo,Muito Baixo,Muito Bom,2,16,15
Gabriel Pereira,Mulher,16,Rural,Acima de 3,Morando Juntos,Ensino Superior,Ensino Superior,Saúde,Professor,Outro,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Ruim,Alto,Alto,Baixo,Moderado,Bom,0,17,16
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Serviços,Serviços,Preferência pelo Curso,Pai,Mais de 1h,"Até 2h,",Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Excelente,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Muito Bom,0,10,10
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 2,other,Serviços,Reputação,Pai,Até 15 min,2 a 5h,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Bom,Alto,Moderado,Muito Baixo,Muito Baixo,Muito Ruim,0,13,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,Saúde,Perto de Casa,Mãe,Até 15 min,5 a 10h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Alto,Alto,Baixo,Alto,Bom,0,14,13
Gabriel Pereira,Mulher,15,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Médio,Serviços,Serviços,Reputação,Pai,Até 15 min,2 a 5h,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Bom,Alto,Alto,Baixo,Alto,Ruim,0,13,12
Gabriel Pereira,Mulher,16,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,Serviços,Preferência pelo Curso,Mãe,30 min a 1h,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Moderado,Muito Baixo,Baixo,Muito Ruim,2,16,15
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Separados,Ensino Superior,Ensino Superior,other,Serviços,Reputação,Mãe,Até 15 min,Mais de 10h,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Muito Ruim,Moderado,Moderado,Muito Alto,Muito Alto,Razoavel,0,11,12
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,Serviços,other,Preferência pelo Curso,Mãe,Até 15 min,Mais de 10h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Muito Baixo,Baixo,Muito Bom,0,10,9
Gabriel Pereira,Mulher,15,Rural,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Saúde,Serviços,Reputação,Mãe,15 a 30 min,2 a 5h,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Muito Baixo,Moderado,Muito Baixo,Moderado,Bom,0,11,10
Gabriel Pereira,Mulher,15,Rural,Até 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,other,other,Reputação,Pai,15 a 30 min,Mais de 10h,Não,Sim,Não,Não,Não,Sim,Sim,Não,Bom,Alto,Baixo,Baixo,Moderado,Razoavel,6,15,15
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,other,other,Reputação,Pai,15 a 30 min,Mais de 10h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Muito Baixo,Muito Baixo,Muito Bom,2,13,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,other,other,Preferência pelo Curso,Mãe,Até 15 min,Mais de 10h,Não,Não,Não,Não,Sim,Sim,Sim,Não,Razoavel,Moderado,Moderado,Muito Baixo,Muito Baixo,Razoavel,0,11,9
Gabriel Pereira,Mulher,15,Rural,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,other,other,Reputação,Mãe,Até 15 min,2 a 5h,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Razoavel,Moderado,Alto,Baixo,Alto,Muito Bom,2,13,11
Gabriel Pereira,Homem,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Fundamental 1,other,other,Reputação,Mãe,Até 15 min,"Até 2h,",Não,Não,Não,Sim,Sim,Sim,Não,Não,Excelente,Moderado,Baixo,Baixo,Baixo,Muito Bom,0,13,13
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,other,Serviços,Perto de Casa,Mãe,Até 15 min,2 a 5h,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Baixo,Alto,Muito Bom,4,11,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Médio,Professor,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Bom,Moderado,Moderado,Baixo,Moderado,Muito Bom,0,11,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Nenhuma,Professor,other,Preferência pelo Curso,Mãe,15 a 30 min,Mais de 10h,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Razoavel,Alto,Moderado,Muito Baixo,Muito Baixo,Muito Ruim,0,12,11
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Reputação,Mãe,Até 15 min,Mais de 10h,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Excelente,Baixo,Moderado,Muito Baixo,Moderado,Razoavel,1,13,13
Gabriel Pereira,Homem,17,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 1,other,other,Perto de Casa,Mãe,15 a 30 min,"Até 2h,",Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Bom,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Razoavel,0,9,9
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,Do Lar,other,Preferência pelo Curso,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Ruim,Alto,Moderado,Muito Baixo,Baixo,Razoavel,14,12,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Médio,other,Serviços,Preferência pelo Curso,Pai,Até 15 min,"Até 2h,",Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Razoavel,Baixo,Baixo,Muito Baixo,Moderado,Razoavel,0,11,11
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 2,Ensino Médio,other,other,Perto de Casa,Mãe,Até 15 min,5 a 10h,Sim,Não,Não,Não,Não,Sim,Sim,Não,Excelente,Moderado,Baixo,Muito Baixo,Baixo,Muito Bom,2,10,9
Gabriel Pereira,Mulher,15,Urbano,Até 3,Morando Juntos,Ensino Médio,Ensino Fundamental 2,Serviços,other,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Alto,Alto,Muito Baixo,Muito Baixo,Muito Bom,4,12,11
Gabriel Pereira,Homem,15,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,Serviços,Serviços,Perto de Casa,Mãe,15 a 30 min,2 a 5h,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Moderado,Bom,2,13,12
